,0
615,SUPT16H
616,VPS35
617,UCP2
618,RIOK3
619,CSK
620,CHMP4B
621,MCUB
622,ARHGAP45
623,DHX9
624,TBCB
625,YTHDF2
626,CCDC12
627,MAP4
628,USP15
629,NSD1
630,HIBCH
631,VASP
632,SP110
633,RCSD1
634,CDC123
635,UTP3
636,PHACTR4
637,IFITM2
638,TMC6
639,NRGN
640,LRMP
641,CORO7
642,DDX52
643,NUP50
644,CTSD
645,CCND2
646,SELL
647,TMOD3
648,RHOQ
649,LITAF
650,DYNC1I2
651,ZCCHC8
652,SYF2
653,PRR13
654,ADD1
655,TLE4
656,DCP2
657,TSPO
658,TAOK3
659,TACC1
660,PTEN
661,IKZF3
662,MYO1G
663,CLEC2D
664,FXR1
665,PPHLN1
666,SASH3
667,CDC42SE1
668,UHMK1
669,EPB41
670,GPATCH4
671,NMT1
672,RGS10
673,VAV1
674,SMC4
675,PSMD1
676,ZMAT2
677,WAS
678,PPBP
679,PDCD10
680,NIN
681,PLEK
682,ABRACL
683,MAP4K4
684,DNM2
685,PLEKHJ1
686,EP300
687,TXNRD1
688,WARS
689,AP2B1
690,FRG1
691,RHOG
692,NDUFV2
693,SREK1
694,VPS4B
695,ARL6IP1
696,RTN4
697,TMPO
698,ANKRD44
699,NUMB
700,SKAP2
701,TRIP12
702,GALNT1
703,ACIN1
704,MYO5A
705,RGS19
706,CDK12
707,DIAPH1
708,IBTK
709,LSM14A
710,MYO9B
711,PRDM2
712,BAK1
713,RAP1A
714,ANXA11
715,SMARCC1
716,DOCK11
717,HIST2H2AC
718,NAA50
719,ACAP2
720,BAZ1B
721,CSF3R
722,RNF145
723,RBM5
724,NCKAP1L
725,NTAN1
726,TWF2
727,SRSF6
728,SH3BP5
729,WDR82
730,KIF2A
731,RECQL
732,SNX6
733,CAPRIN1
734,GGNBP2
735,SETX
736,WDR43
737,RCC2
738,EEF1E1
739,NCF1C
740,VPS13C
741,DUT
742,ADAM19
743,PDCL3
744,RABL6
745,DDX1
746,PNRC2
747,DNTTIP2
748,LARP7
749,CMTM6
750,RNF126
751,AC016745.2
752,DENR
753,ADAM10
754,MYO1F
755,POLR2J3-1
756,PSMA3-AS1
757,TMA16
758,TMEM154
759,CPSF6
760,PREX1
761,SPTY2D1
762,HSPA4
763,CCAR1
764,STK38
765,GNL3L
766,RUVBL1
767,NDUFA9
768,SNW1
769,MED17
770,CDC5L
771,CAND1
772,CELF1
773,PPP4R3B
774,GNAI3
775,CYFIP2
776,EML4
777,HDAC1
778,LYN
779,MTREX
780,TTC1
781,CIB1
782,FAM129A
783,MRPL28
784,RFTN1
785,KRR1
786,TBC1D14
787,CDK11B
788,ACAP1
789,SMC5
790,BIRC6
791,DOCK2
792,CARD16
793,HRASLS2
794,TRBC2
795,RIF1
796,ACTN4
797,SAFB
798,RO60
799,CNOT1
800,HBD
801,UBE2G2
802,STAG2
803,SF3A3
804,ZNF106
805,TNFAIP8
806,WNK1
807,HCST
808,SEPT9
809,NOP14
810,REST
811,PPP1R12A
812,RAB5C
813,ITGB1BP1
814,SRPK1
815,MRPL1
816,SNRNP200
817,AMD1
818,NARS
819,PPP1R18
820,OSBPL8
821,MVP
822,ZBTB7A
823,ANKRD17
824,CKLF
825,KANSL1
826,DYNC1LI1
827,LLPH
828,NIFK
829,CTSA
830,ETS1
831,COPS2
832,HDGF
833,SWAP70
834,SPEN
835,C16orf87
836,EZH2
837,ATXN7L3B
838,MIER1
839,BZW2
840,CHD8
841,R3HDM4
842,UPF3A
843,MAZ
844,SLCO3A1
845,BANK1
846,PFDN1
847,PDLIM1
848,SMC1A
849,PTBP3
850,ECHDC1
851,UBTF
852,CHD4
853,NCBP2-AS2
854,DAXX
855,FAM49B
856,EFHD2
857,SAMD9L
858,RNF10
859,ADH5
860,FERMT3
861,RAB14
862,CTR9
863,MTMR14
864,POLE3
865,DNAJA2
866,APOPT1
867,BDP1
868,RASA3
869,SMS
870,ELOA
871,CAPG
872,HELLS
873,NUDT5
874,GPSM3
875,FIP1L1
876,DDX27
877,PDCD2
878,SCP2
879,MRPL4
880,LTA4H
881,BCL7A
882,AC010618.1
883,PDS5B
884,LILRB4
885,ARFGAP2
886,PACS1
887,AATF
888,USP34
889,MRPS35
890,SRSF1
891,EED
892,MDM2
893,S100A11
894,NCOA4
895,BLK
896,EPS15
897,KAT6A
898,CHURC1
899,CAPZA2
900,XPO1
901,TLE1
902,NAA15
903,NMI
904,HMOX2
905,MED4
906,DOCK10
907,MCPH1
908,ZBTB32
909,ETF1
910,ZNHIT6
911,RNF19A
912,CYBB
913,ZNF326
914,DNAJC2
915,LTV1
916,APOL3
917,FIBP
918,SMG1
919,ZC3H13
920,C6orf106
921,BTK
922,BRD7
923,RNASEH1
924,SH3BP1
925,SYNRG
926,RPAP3
927,CCDC32
928,TUT7
929,FAM126A
930,PPP4R2
931,CD59
932,MRPL11
933,SUZ12
934,COMMD7
935,CUL3
936,DNMT1
937,OIP5-AS1
938,IARS2
939,AC242376.2
940,FCN1
941,LRRC58
942,C1D
943,BAX
944,ATF7IP
945,GLDC
946,RAB29
947,TIFA
948,COMMD8
949,SMARCE1
950,DNM1L
951,WDR1
952,PCLAF
953,ZBTB24
954,GTF2F1
955,USP1
956,NFE2L1
957,LSM12
958,GRSF1
959,CRTC3
960,TSN
961,TDG
962,BNIP2
963,DDX54
964,UBR5
965,PAXBP1
966,NTHL1
967,SECISBP2L
968,TBC1D10C
969,RALBP1
970,EHBP1L1
971,RNF6
972,PFKP
973,KPNA4
974,PCNA
975,MAPRE1
976,HNRNPH2
977,PAICS
978,LARS
979,MPHOSPH10
980,EIF6
981,GABPB1-AS1
982,GPRIN3
983,SEPT11
984,UCHL3
985,VMA21
986,THOC7
987,SZRD1
988,BIN2
989,COMMD9
990,AC011481.1
991,PFDN6
992,RNU5D-1
993,PRKAR1A
994,HK1
995,BTLA
996,ZFX
997,GPR183
998,SNRNP27
999,CNTRL
1000,PXK
1001,RPL7L1
1002,MRTO4
1003,RPF1
1004,CD44
1005,PPP3CA
1006,LSM6
1007,POLE4
1008,TBC1D22A
1009,FAM207A
1010,SLA
1011,EDRF1
1012,CYB5R4
1013,SLC39A3
1014,HERC2
1015,PWP1
1016,DBF4
1017,CYLD
1018,SCPEP1
1019,PHTF2
1020,HPGD
1021,MCM4
1022,MED6
1023,GYG1
1024,HAUS3
1025,CSF2RB
1026,TCERG1
1027,ANKIB1
1028,LRPPRC
1029,DCTPP1
1030,SNX2
1031,PARP4
1032,SEPT1
1033,HLA-DQB1
1034,KIF3B
1035,PPAN
1036,WBP11
1037,MRPL44
1038,GLIPR2
1039,MRPL42
1040,KPNA3
1041,COX20
1042,EBNA1BP2
1043,RBM22
1044,FLOT2
1045,CKAP2
1046,NCBP2
1047,ZNF92
1048,ARID1A
1049,FLI1
1050,SLC12A6
1051,AP1S2
1052,ABCE1
1053,FLOT1
1054,TXLNG
1055,CRCP
1056,TESC
1057,ZDHHC20
1058,FAM91A1
1059,SAMD9
1060,DNAJC9
1061,LYZ
1062,SAFB2
1063,CBWD1
1064,HELZ
1065,EBP
1066,CSNK2A1
1067,WDR26
1068,BRIX1
1069,SFSWAP
1070,EXOSC6
1071,SMARCD1
1072,GRWD1
1073,FBXO7
1074,SHOC2
1075,LYL1
1076,FBXO5
1077,AKAP8
1078,HEATR1
1079,CAT
1080,REXO4
1081,ITPA
1082,ORAI2
1083,SNORD3B-2
