,0
693,ALYREF
694,NME2
695,CXorf21
696,MCMBP
697,AC122718.1
698,TRPM2
699,RAB27A
700,TMEM87B
701,FYTTD1
702,SAMD4B
703,PLAU
704,SH3PXD2B
705,FPR2
706,CBFB
707,LYSMD2
708,SPHK1
709,CD209
710,CRIP1
711,HPS3
712,CPQ
713,ZSWIM6
714,OAT
715,NUDT3
716,PLXNB2
717,HDAC1
718,SERTAD2
719,ERAP1
720,TFDP1
721,FHOD1
722,EBPL
723,PIK3CG
724,GTPBP1
725,SDE2
726,NECAP1
727,SLC25A40
728,ZCCHC8
729,CYSLTR1
730,FCGR1B
731,RNF19B
732,CYB561A3
733,ARHGEF6
734,SLC39A8
735,APOBEC3C
736,CHST15
737,KDM7A
738,RNF44
739,DEF6
740,CERK
741,TOM1
742,CBX4
743,NFATC2IP
744,FAM45A
745,C15orf39
746,TP53
747,GPR65
748,TYK2
749,UNC119
750,TMEM189
751,FMNL3
752,SLC12A9
753,ATP11A
754,SNN
755,U2AF2
756,TSEN34
757,CD300E
758,KIFC3
759,SREBF2
760,CHD3
761,NUTM2B-AS1
762,SIGLEC7
763,SCLT1
764,N4BP2L1
765,MALT1
766,AGAP3
767,CKAP4
768,C16orf72
769,SELENOO
770,SRSF1
771,SRC
772,MAN2B1
773,TPMT
774,FRMD8
775,MOB3A
776,ERF
777,HPRT1
778,RNF168
779,BICD2
780,PSTPIP1
781,C1orf54
782,POLR2B
783,LRRC75A
784,PIK3CD
785,WIPI1
786,SNRPA1
787,CLCN7
788,HYOU1
789,TMX3
790,F8A1
791,SLC25A19
792,SPINT1
793,MCM5
794,RTN1
795,SH3BP1
796,FRG1
797,N4BP2
798,SEMA4A
799,TNFRSF10B
800,OLFML2B
801,ITGAL
802,CDKN2D
803,MTF2
804,UCHL3
805,SIRPB1
806,TOR3A
807,TP53I13
808,PLBD2
809,GGA3
810,SEL1L3
811,PSMB8-AS1
812,PGM2
813,HLA-DOA
814,NINJ2
815,IRF2BPL
816,SLC39A7
817,STK11
818,PTGES2
819,HOTAIRM1
820,C2orf68
821,RNF139
822,MGRN1
823,BRI3BP
824,ACVR1B
825,ST3GAL5
826,NUP93
827,MRPL12
828,EXOSC6
829,TPCN1
830,SH3GL1
831,ITPRIP
832,TAP2
833,SMPDL3A
834,CHFR
835,PSTPIP2
836,PGS1
837,SNRPA
838,RNF41
839,TBC1D10B
840,LPCAT3
841,TACC3
842,FAM214B
843,SLC23A2
844,ARPIN
845,ZMIZ2
846,ETV5
847,SMC4
848,EML3
849,NUP50
850,PLAGL1
851,ADK
852,SNRK
853,ING1
854,KMT5A
855,TMED8
856,GMIP
857,LMF2
858,PRPS2
859,RCBTB2
860,RNF138
861,APAF1
862,KMT2D
863,MFSD14C
864,SNHG9
865,GSE1
866,KDM4B
867,ENTPD4
868,FRAT2
869,SF3B3
870,SYMPK
871,SIGLEC9
872,ARHGAP1
873,MTX1
874,NGLY1
875,ALDH16A1
876,FBXO33
877,PSMD9
878,ATF5
879,RELB
880,NRROS
881,ATP8B4
882,SINHCAF
883,USB1
884,MVD
885,SGTB
886,EPM2AIP1
887,TLR8
888,USP37
889,ACSL5
890,COASY
891,PPM1M
892,PRPS1
893,CBWD1
894,ZNF141
895,CETN2
896,MAPK3
897,C16orf87
898,PLEKHM1
899,ABCC1
900,PTPA
901,SF3A2
902,PHF23
903,SPECC1
904,REEP4
905,RASGRP3
906,PIGX
907,AGO1
908,HMGXB4
909,ARHGEF11
910,FRG1CP
911,TMEM138
912,PGPEP1
913,HNRNPLL
914,SLC25A28
915,CNEP1R1
916,USP39
917,SMURF2
918,LIMK1
919,ZBTB7B
920,UAP1
921,RPS6KA4
922,IDH3A
923,ZNF580
924,XPNPEP1
925,HS3ST2
926,CTSK
927,TFPI
928,GCLC
929,CHIT1
930,MGLL
931,PLA2G7
932,FCMR
933,SLC5A3
934,NR1H3
935,IGHA1
936,MRPS6
937,KCNMA1
938,LINC02099
939,CDKN2B
940,MYO1E
941,GNG5
942,SLC26A11
943,SLAMF7
944,PIK3IP1
945,IGKC
946,CCL18
947,PDE4DIP
948,IL1R1
949,ZNF385A
950,LPL
951,ALOX15B
952,ARID5B
953,RPS4Y1
954,GDF15
955,DNASE2B
956,CHCHD6
957,ATP6V0C
958,GNPTAB
959,BAIAP2
960,CYP27A1
961,IL1R2
962,RARRES1
963,HSBP1L1
964,MCOLN3
965,DHRS9
966,UCHL1
967,PLEKHA1
968,NME2
969,A2M
970,SPIRE1
971,OTOA
972,ATP6V0D2
973,CDS2
974,CD68
975,GPX3
976,MRAS
977,SCIN
978,RALA
979,AC087289.1
980,SELENOP
981,CBLB
982,FABP3
983,SLC37A2
984,KCNAB2
985,ALDOA
986,IGHG3
987,GABARAP
988,FAIM
989,CHI3L1
990,GADD45A
991,CAMP
992,NTAN1
993,HRK
994,RRN3P1
995,FARP1
996,EVA1B
997,RNASEK
998,SPARC
999,TBC1D8
1000,PLEKHO1
1001,EPHX1
1002,AC245297.1
1003,CIAO2A
1004,DEXI
1005,PLEKHM2
1006,SASH1
1007,NUPR1
1008,RPS6KA2
1009,VPS35L
1010,IL18BP
1011,MXD4
1012,KIAA0930
1013,LINC02244
1014,DENND4C
1015,TOMM5
1016,SMIM3
1017,KRTCAP2
1018,DMXL1
1019,HIST1H2AC
1020,MREG
1021,DYRK2
1022,GLA
1023,SAMD4A
1024,CLCN7
1025,SLC38A1
1026,IGHG4
1027,ABCC5
1028,SLC8B1
1029,RASGRP3
1030,PRCP
1031,NPC1
1032,CD52
1033,SH3PXD2B
1034,MT-ND6
1035,MCRIP2
1036,TUT7
1037,ADGRE2
1038,TAF10
1039,SLC40A1
1040,CYGB
1041,INF2
1042,GNG10
1043,SNX1
1044,TMIGD3
1045,PLBD2
1046,GNPTG
1047,CD48
1048,FAM20C
1049,NCOA7
1050,ADAMDEC1
1051,HPCAL1
1052,ABHD6
1053,RNF111
1054,MDM2
1055,ITPKB
1056,SULT1C2
1057,SPP1
1058,RGS20
1059,SLC6A6
1060,AC118549.1
1061,PLP2
1062,AC147651.4
1063,TPRA1
1064,CIR1
1065,FXYD2
1066,PXDC1
1067,TM4SF19
1068,PALLD
1069,SLC38A6
1070,SLAMF8
1071,VAC14
1072,HEBP2
1073,IGLC2
1074,SDC2
1075,KIF13B
1076,PRXL2B
1077,SLC29A1
1078,ASIP
1079,CTTNBP2NL
1080,PTGDS
1081,DANCR
1082,GSR
1083,TDRD3
1084,C18orf32
1085,AFF1
1086,TBC1D2
1087,CCRL2
1088,ZDHHC7
1089,PDE8A
1090,NOTCH2
1091,EPS8
1092,MFAP5
1093,NAV2
1094,GSDME
1095,CLPTM1
1096,MAN2A2
1097,ARHGAP10
1098,NAPA
1099,TMCO3
1100,PDXDC1
1101,ATP6V1C1
1102,TXNRD1
1103,CHPT1
1104,INPP5F
1105,KIF22
1106,LHFPL2
1107,CLEC4E
1108,TWSG1
1109,FKBP2
1110,SORBS3
1111,LSR
1112,STAM
1113,AL138963.3
1114,SDC4
1115,PCMTD1
1116,GPS2
1117,NADK
1118,C12orf49
1119,SMPDL3A
1120,KMO
1121,CTDSPL
1122,FMN1
1123,FGD6
1124,CREBRF
1125,GPC4
1126,COL6A2
1127,HECTD1
1128,MTND2P28
1129,ADI1
1130,PLPP3
1131,PRKCD
1132,MTLN
1133,ATP9A
1134,MMP1
1135,AL133415.1
1136,VNN1
1137,ARRDC2
1138,DOP1B
1139,PLXNA1
1140,MAP4K3-DT
1141,MMP12
1142,SLC44A1
1143,ARHGAP17
1144,TUSC2
1145,NFE2L1
1146,RABEP1
1147,FTLP3
1148,TMEM259
1149,AHCY
1150,GBE1
1151,PPP1R37
1152,LRCH1
1153,PGRMC2
1154,TNS1
1155,PRSS21
1156,C6orf106
1157,TRAK2
1158,HES2
1159,IRF2
1160,ZBTB16
1161,THRB
1162,SELENOM
1163,ABCC1
1164,SLC46A3
1165,SCARB1
1166,PHF23
1167,CD82
1168,ATP6V1H
1169,RNF145
1170,ST3GAL5
1171,CHST7
1172,SLC20A1
1173,AGAP3
1174,NHSL1
1175,CDYL
1176,ZNF433-AS1
1177,CCDC88C
1178,SDC3
1179,FTX
1180,SMYD4
1181,SH3D21
1182,CYFIP2
1183,AIFM2
1184,AC011481.1
1185,ITGA3
1186,RAB18
1187,RRAGD
1188,CCNQ
1189,PSEN2
1190,CCR5
1191,COX16
1192,MGAT4B
1193,POLD4
1194,CD276
1195,WDR43
1196,MRFAP1L1
1197,DPP9
1198,CREBZF
1199,PRKACB
1200,TTYH2
1201,UTY
1202,WASL
1203,MYO1D
1204,MFGE8
1205,PARP15
1206,DCBLD1
1207,SUPT4H1
1208,SLC19A2
1209,C1orf54
1210,STX3
1211,IL27RA
1212,ABR
1213,CLIC2
1214,ARHGAP24
1215,TFCP2L1
1216,BNIP3
1217,TMEM176B
1218,ADAMTS2
1219,ANKRD29
1220,PRKAG2
1221,FEM1B
1222,PSMA6
1223,HVCN1
1224,ACE
1225,P2RX7
1226,KDM5B
1227,IL17RA
1228,SPSB1
1229,DDX3Y
1230,MAX
1231,CD109
1232,HSF1
1233,TRAPPC10
1234,TDP2
1235,DPM3
1236,OTOAP1
1237,CHKA
1238,B3GNT8
1239,SAP30L
1240,AHI1
1241,PINK1
1242,LILRA2
1243,SRC
1244,UBXN7
1245,ACIN1
1246,STARD13
1247,HIST1H1E
1248,SPECC1
1249,MAP4K3
1250,DDRGK1
1251,DNAJC2
1252,DAPK1
1253,AC244090.1
1254,SLC25A29
1255,CCDC12
1256,NDUFAF8
1257,MITF
1258,CERS4
1259,RESF1
1260,EPC2
1261,G6PD
1262,HPS3
1263,AP1AR
1264,MAP3K3
1265,SLC35E3
1266,NPIPB5
1267,MFSD12
1268,NBPF14
1269,SLC18B1
1270,PI4KA
1271,SMIM10L1
1272,BEST1
1273,ACP2
1274,KLHL6
1275,KIF16B
1276,VOPP1
1277,FAM13B
1278,HGS
1279,TLE1
1280,RAB42
1281,ST5
1282,LINC02185
1283,MAN2B1
1284,ECPAS
1285,WASH5P
1286,PRKCB
1287,SH2D4A
1288,PCBD1
1289,SVIL-AS1
1290,ATP2B4
1291,AC100810.1
1292,ATN1
1293,MRPS34
1294,EPB41L1
1295,MAP7D1
1296,FOXO1
1297,DCSTAMP
1298,USP9Y
1299,R3HCC1L
1300,CYB5R1
1301,ZNF589
1302,EPN1
1303,MATK
1304,SEL1L3
1305,PLXNB2
1306,PITHD1
1307,LILRB5
1308,NPLOC4
1309,ASB1
1310,POLE3
1311,PHF1
1312,THEM4
1313,MTUS1
1314,MICAL1
1315,KCNJ5
1316,NAGPA
1317,PI4K2A
1318,SLC1A5
1319,TESK2
1320,CPEB2
1321,CXXC5
1322,PIK3R5
1323,EIF2AK4
1324,DGCR6L
1325,PKD2L1
1326,NECAP1
1327,IER5L
1328,DAAM2
1329,TMEM38B
1330,ZZEF1
1331,RNF220
1332,EIF1AY
1333,NGRN
1334,ATP10D
1335,CCSAP
1336,PGP
1337,SCYL1
1338,AC015912.3
1339,GATAD2A
1340,NFATC3
1341,TULP4
1342,WFDC21P
1343,STK24
1344,STARD3NL
1345,TCN2
1346,FRG1HP
1347,ZFYVE26
1348,ADCY3
1349,HEBP1
1350,UBR4
1351,UPF2
1352,TMEM138
1353,ITGB5
1354,KIFC3
1355,CREBL2
1356,C5orf24
1357,KEAP1
1358,MXI1
1359,DLEU2
1360,EMP1
1361,MOSPD1
1362,WDR81
